"saleid","productid","quantitysold","saledate","salespersonid"
1,101,10,"2023-01-15",201
2,102,5,"2023-02-17",202
3,103,7,"2023-03-01",203
4,101,2,"2023-04-22",201
5,104,3,"2023-05-15",204
6,105,1,"2023-06-10",201
7,102,15,"2023-07-01",202
8,106,8,"2023-08-15",203
9,107,0,"2023-09-20",202
10,108,20,"2023-10-05",201
11,109,10,"2023-11-10",202
12,110,5,"2023-12-12",203
13,111,10,"2023-01-11",204
14,112,7,"2023-02-22",201
15,113,8,"2023-03-15",202
16,114,6,"2023-04-17",203
17,115,12,"2023-05-19",204
18,116,4,"2023-06-21",201
19,117,9,"2023-07-23",202
20,118,1,"2023-08-25",203
21,119,20,"2023-09-01",201
22,120,15,"2023-10-03",202
23,121,5,"2023-11-06",203
24,122,4,"2023-12-01",204
25,123,3,"2023-01-13",201
26,124,8,"2023-02-23",202
27,125,7,"2023-03-18",203
28,126,10,"2023-04-20",204
29,127,0,"2023-05-21",201
30,128,11,"2023-06-22",202
31,129,2,"2023-07-23",203
32,130,6,"2023-08-24",204
33,131,12,"2023-09-25",201
34,132,8,"2023-10-26",202
35,133,4,"2023-11-27",203
36,134,14,"2023-12-28",204
37,135,3,"2023-01-29",201
38,136,10,"2023-02-28",202
39,137,9,"2023-03-31",203
40,138,5,"2023-04-01",204
41,139,15,"2023-05-02",201
42,140,2,"2023-06-03",202
43,141,11,"2023-07-04",203
44,142,7,"2023-08-05",204
45,143,5,"2023-09-06",201
46,144,3,"2023-10-07",202
47,145,1,"2023-11-08",203
48,146,9,"2023-12-09",204
49,147,12,"2023-01-10",201
50,148,8,"2023-02-11",202
51,149,14,"2023-03-12",203
52,150,3,"2023-04-13",204
53,151,5,"2023-05-14",201
54,152,6,"2023-06-15",202
55,153,2,"2023-07-16",203
56,154,12,"2023-08-17",204
57,155,3,"2023-09-18",201
58,156,10,"2023-10-19",202
59,157,8,"2023-11-20",203
60,158,9,"2023-12-21",204
61,159,11,"2023-01-22",201
62,160,5,"2023-02-23",202
63,161,7,"2023-03-24",203
64,162,4,"2023-04-25",204
65,163,15,"2023-05-26",201
66,164,12,"2023-06-27",202
67,165,8,"2023-07-28",203
68,166,10,"2023-08-29",204
69,167,6,"2023-09-30",201
70,168,3,"2023-10-31",202
71,169,2,"2023-11-01",203
72,170,11,"2023-12-02",204
73,171,9,"2023-01-03",201
74,172,7,"2023-02-04",202
75,173,1,"2023-03-05",203
76,174,6,"2023-04-06",204
77,175,8,"2023-05-07",201
78,176,0,"2023-06-08",202
79,177,4,"2023-07-09",203
80,178,5,"2023-08-10",204
81,179,10,"2023-09-11",201
82,180,9,"2023-10-12",202
83,181,7,"2023-11-13",203
84,182,12,"2023-12-14",204
85,183,3,"2023-01-15",201
86,184,1,"2023-02-16",202
87,185,8,"2023-03-17",203
88,186,5,"2023-04-18",204
89,187,14,"2023-05-19",201
90,188,6,"2023-06-20",202
91,189,9,"2023-07-21",203
92,190,2,"2023-08-22",204
93,191,10,"2023-09-23",201
94,192,15,"2023-10-24",202
95,193,7,"2023-11-25",203
96,194,6,"2023-12-26",204
97,195,12,"2023-01-27",201
98,196,9,"2023-02-28",202
99,197,3,"2023-03-29",203
100,198,4,"2023-04-30",204
